Festo Didactic LVDAM-ANT File 1.2
Antenna Type : Dipole (Lambda)

Description
Festo Didactic model :	9561
Op. Frequency :	915 MHz
Polarization :	Lin.
Connector Type :	SMA

Author : 
Comments : 

P - E - attenuation : 5
P - H - attenuation : 0

Angle	E	H
278	-19.42208	-30
279	-19.59793	-30
280	-19.97236	-30
281	-20.27587	-30
282	-20.83401	-30
283	-21.07901	-30
284	-20.83401	-30
285	-21.47462	-30
286	-21.91013	-30
287	-21.91013	-30
288	-21.76002	-30
289	-22.06565	-30
290	-22.22702	-30
291	-22.75109	-30
292	-22.22702	-30
293	-22.56918	-30
294	-22.56918	-30
295	-23.13996	-30
296	-23.34857	-30
297	-22.56918	-30
298	-22.9411	-30
299	-23.13996	-30
300	-22.75109	-30
301	-23.34857	-30
302	-24.04412	-30
303	-24.58101	-30
304	-25.54293	-30
305	-25.92044	-30
306	-25.92044	-30
307	-26.79875	-30
308	-26.79875	-30
309	-26.33609	-30
310	-26.33609	-30
311	-24.87764	-30
312	-24.04412	-30
313	-23.34857	-30
314	-22.06565	-30
315	-20.27587	-30
316	-19.25301	-30
317	-18.8568	-30
318	-17.33428	-30
319	-15.88298	-30
320	-14.97629	-30
321	-14.33131	-30
322	-13.5797	-30
323	-12.87732	-30
324	-12.23652	-30
325	-11.54312	-30
326	-10.86744	-30
327	-10.20472	-30
328	-9.524952	-30
329	-9.067345	-30
330	-8.675442	-30
331	-8.13554	-30
332	-7.564022	-30
333	-7.198242	-30
334	-6.814865	-30
335	-6.420441	-30
336	-6.109478	-30
337	-5.818935	-30
338	-5.572815	-30
339	-5.296612	-30
340	-5.040001	-30
341	-4.797455	-30
342	-4.513336	-30
343	-4.314465	-30
344	-4.11866	-30
345	-3.933769	-30
346	-3.781567	-30
347	-3.617283	-30
348	-3.489624	-30
349	-3.377094	-30
350	-3.265091	-30
351	-3.238087	-30
352	-3.211246	-30
353	-3.101128	-30
354	-2.95351	-30
355	-2.820839	-30
356	-2.78828	-30
357	-2.745911	-30
358	-2.692017	-30
359	-2.680126	-30

	E	H
MSL : 	-2.39	-30.00
MSP : 	1	0
HPBW: 	43.27	0.00
