Festo Didactic LVDAM-ANT File 1.2
Antenna Type : Dipole (Lambda)

Description
Festo Didactic model :	9561
Op. Frequency :	915 MHz
Polarization :	Lin.
Connector Type :	SMA

Author : 
Comments : 

P - E - attenuation : 5
P - H - attenuation : 6

Angle	E	H
0	-0.9222984	-1.219995
1	-0.9827652	-0.9094639
2	-0.996315	-0.8895016
3	-1.027634	-0.8709507
4	-1.03447	-0.8643436
5	-1.160763	-0.8419476
6	-1.28059	-0.8183575
7	-1.439522	-0.7637844
8	-1.530323	-0.8551083
9	-1.716057	-0.8934879
10	-1.851974	-0.9997234
11	-2.060497	-1.09738
12	-2.25222	-1.293455
13	-2.433804	-1.405191
14	-2.63485	-1.662493
15	-2.853638	-1.86397
16	-3.144848	-2.014841
17	-3.433002	-2.301722
18	-3.773968	-2.363951
19	-4.137856	-2.669012
20	-4.465733	-3.071386
21	-4.86171	-3.40534
22	-5.236328	-3.837645
23	-5.703938	-4.569345
24	-6.178654	-4.964518
25	-6.656738	-5.490519
26	-7.209229	-6.104597
27	-7.808983	-6.924593
28	-8.473423	-7.754469
29	-9.19458	-8.246508
30	-9.753181	-9.506002
31	-10.49483	-10.24674
32	-11.27414	-11.45343
33	-12.06918	-12.77511
34	-12.77994	-14.54714
35	-13.09936	-15.90999
36	-13.33306	-18.46733
37	-13.86531	-19.6503
38	-15.07195	-22.64868
39	-16.8759	-23.65739
40	-17.38827	-23.02427
41	-18.63516	-20.22956
42	-19.33673	-18.13424
43	-20.27587	-16.27453
44	-21.47462	-15.16017
45	-22.39469	-14.13707
46	-23.79934	-13.21979
47	-24.87764	-12.49553
48	-25.92044	-11.85712
49	-26.79875	-11.38254
50	-26.79875	-11.10975
51	-26.79875	-11.03107
52	-27.32086	-10.95376
53	-27.32086	-10.92829
54	-26.79875	-10.75395
55	-27.92065	-10.62161
56	-26.33609	-10.53941
57	-25.92044	-10.60978
58	-25.92044	-10.69331
59	-25.92044	-10.68128
60	-25.54293	-10.65732
61	-25.19699	-10.86524
62	-25.19699	-11.04408
63	-24.87764	-11.54003
64	-25.54293	-11.8728
65	-24.87764	-12.40611
66	-25.19699	-12.95169
67	-25.19699	-13.57357
68	-25.54293	-14.24278
69	-25.92044	-14.75224
70	-25.19699	-15.39635
71	-25.92044	-15.64576
72	-25.19699	-16.02821
73	-25.19699	-16.58027
74	-25.54293	-16.81229
75	-24.87764	-16.76491
76	-25.19699	-16.53528
77	-24.87764	-16.02821
78	-24.87764	-15.32758
79	-24.87764	-14.84311
80	-25.19699	-14.54714
81	-25.54293	-14.24278
82	-25.19699	-13.98306
83	-25.54293	-13.71384
84	-24.87764	-13.32736
85	-24.30399	-13.24109
86	-24.04412	-13.37112
87	-24.04412	-12.9919
88	-23.79934	-12.93172
89	-23.56797	-13.09404
90	-23.56797	-13.01214
91	-23.79934	-12.95169
92	-23.56797	-12.77511
93	-23.56797	-12.83319
94	-24.04412	-12.85272
95	-23.79934	-12.93172
96	-24.30399	-12.95169
97	-24.58101	-13.01214
98	-25.19699	-13.07342
99	-25.54293	-13.15647
100	-25.54293	-13.28401
101	-25.92044	-13.48245
102	-26.79875	-13.69015
103	-27.92065	-13.98306
104	-26.79875	-14.26961
105	-27.32086	-14.54714
106	-27.32086	-14.87382
107	-27.32086	-15.25986
108	-27.92065	-15.79482
109	-26.79875	-16.44665
110	-25.54293	-17.0571
111	-26.33609	-17.64849
112	-25.54293	-18.46733
113	-24.87764	-19.13848
114	-24.30399	-20.02787
115	-23.56797	-21.27339
116	-22.9411	-21.98323
117	-22.56918	-23.22511
118	-21.91013	-23.65739
119	-21.20691	-24.40081
120	-20.71651	-24.9802
121	-20.07121	-26.45277
122	-19.50912	-25.30272
123	-19.59793	-24.13833
124	-19.17085	-22.64868
125	-18.63516	-21.68526
126	-18.49336	-21.01895
127	-18.35599	-20.55062
128	-18.0302	-21.4064
129	-17.84568	-20.33399
130	-17.78585	-17.88472
131	-17.72681	-18.82754
132	-17.66856	-20.02787
133	-17.66856	-20.02787
134	-17.78585	-19.9304
135	-17.72681	-19.47301
136	-17.90633	-19.6503
137	-18.15764	-19.7417
138	-18.28888	-20.02787
139	-18.35599	-20.12756
140	-18.49336	-20.33399
141	-18.78167	-20.77852
142	-18.8568	-20.89709
143	-19.01102	-21.14432
144	-18.93324	-21.27339
145	-19.01102	-21.27339
146	-19.25301	-21.4064
147	-19.09021	-21.68526
148	-19.25301	-21.98323
