Festo Didactic LVDAM-ANT File 1.2
Antenna Type : Dipole (Lambda)

Description
Festo Didactic model :	9561
Op. Frequency :	915 MHz
Polarization :	Lin.
Connector Type :	SMA

Author : 
Comments : 

P - E - attenuation : 5
P - H - attenuation : 6

Angle	E	H
149	-19.25301	-22.14025
150	-19.17085	-22.14025
151	-19.09021	-22.14025
152	-18.78167	-21.98323
153	-18.56369	-22.14025
154	-18.22277	-21.98323
155	-17.96783	-21.83169
156	-17.44292	-22.47248
157	-17.28094	-21.98323
158	-17.02349	-21.4064
159	-16.68648	-21.54359
160	-16.37328	-21.4064
161	-16.08074	-20.66309
162	-15.73088	-19.7417
163	-15.47662	-19.7417
164	-15.23611	-19.6503
165	-14.94485	-19.21976
166	-14.79092	-18.90325
167	-14.49815	-18.67991
168	-14.27706	-18.46733
169	-14.04078	-18.13424
170	-13.81641	-18.00772
171	-13.6494	-17.9458
172	-13.48842	-17.59135
173	-13.35492	-17.64849
174	-13.18293	-17.82447
175	-13.07871	-17.36988
176	-12.99706	-17.36988
177	-12.93679	-17.26315
178	-12.83811	-17.26315
179	-12.76071	-17.42422
180	-12.72251	-17.59135
181	-12.64708	-18.46733
182	-12.59134	-18.46733
183	-12.53628	-18.82754
184	-12.48189	-19.38696
185	-12.48189	-19.83504
186	-12.48189	-20.55062
187	-12.46391	-21.01895
188	-12.49995	-21.54359
189	-12.51807	-22.47248
190	-12.42816	-22.47248
191	-12.37508	-23.02427
192	-12.57291	-23.02427
193	-12.62842	-23.02427
194	-12.62842	-23.89109
195	-12.59134	-24.6806
196	-12.55455	-24.6806
197	-12.83811	-25.30272
198	-13.12011	-26.03321
199	-13.46589	-26.91965
200	-13.6494	-26.91965
201	-13.88996	-26.91965
202	-14.11816	-27.44629
203	-14.33131	-26.91965
204	-14.58398	-27.44629
205	-14.94485	-27.44629
206	-15.37195	-28.05092
207	-15.88298	-26.91965
208	-16.24554	-28.05092
209	-16.28771	-27.44629
210	-17.12468	-28.05092
211	-17.90633	-27.44629
212	-18.63516	-28.05092
213	-19.42208	-26.45277
214	-20.17234	-26.91965
215	-21.20691	-26.03321
216	-22.75109	-25.30272
217	-23.79934	-24.9802
218	-24.58101	-23.89109
219	-25.54293	-23.89109
220	-25.92044	-23.22511
221	-26.33609	-22.30318
222	-25.92044	-21.83169
223	-25.92044	-21.27339
224	-24.58101	-21.01895
225	-23.56797	-20.77852
226	-22.39469	-20.22956
227	-22.06565	-19.7417
228	-21.3387	-19.21976
229	-20.95478	-19.13848
230	-20.27587	-18.90325
231	-19.87571	-18.60791
232	-19.68858	-18.46733
233	-19.01102	-18.60791
234	-18.8568	-18.33107
235	-18.63516	-18.00772
236	-18.56369	-17.64849
237	-18.42414	-17.47923
238	-18.42414	-16.9086
239	-18.42414	-16.35976
240	-18.42414	-16.10881
241	-18.63516	-15.87127
242	-18.78167	-15.75709
243	-18.93324	-15.71967
244	-18.93324	-15.75709
245	-19.17085	-15.75709
246	-19.33673	-15.64576
247	-19.50912	-15.53716
248	-19.87571	-15.16017
249	-20.17234	-14.84311
250	-20.6021	-14.66318
251	-20.71651	-14.26961
252	-21.20691	-14.03381
253	-21.76002	-13.8342
254	-22.06565	-13.57357
255	-22.56918	-13.24109
256	-22.9411	-12.97175
257	-23.34857	-12.7368
258	-24.30399	-12.35331
259	-24.58101	-12.08181
260	-25.19699	-11.76419
261	-25.54293	-11.51097
262	-25.54293	-11.32662
263	-25.92044	-11.09654
264	-25.92044	-10.87778
265	-26.33609	-10.66928
266	-25.92044	-10.44728
267	-25.92044	-10.30154
268	-25.92044	-10.16043
269	-25.54293	-10.13912
270	-25.19699	-10.17113
271	-24.30399	-10.23586
272	-24.30399	-10.35703
273	-24.30399	-10.49311
274	-23.79934	-10.64538
275	-23.79934	-10.85274
276	-23.13996	-11.04408
277	-23.34857	-11.25771
278	-23.34857	-11.52548
279	-23.34857	-11.8728
280	-24.04412	-12.23248
281	-23.79934	-12.66116
282	-24.04412	-13.15647
283	-24.30399	-13.61984
284	-23.79934	-14.0594
285	-24.04412	-14.72235
286	-24.30399	-15.19315
287	-23.79934	-15.53716
288	-24.87764	-15.90999
289	-22.9411	-16.14966
290	-22.9411	-16.40299
291	-23.79934	-16.49075
292	-24.30399	-16.81229
293	-23.13996	-16.76491
294	-22.75109	-16.76491
295	-22.9411	-16.86019
296	-22.9411	-16.71802
297	-22.39469	-16.71802
298	-22.39469	-16.71802
299	-23.13996	-16.62572
300	-23.34857	-16.67163
301	-21.20691	-16.71802
302	-21.76002	-16.86019
303	-22.56918	-16.9086
304	-21.76002	-17.10773
305	-22.22702	-17.31619
306	-21.91013	-17.42422
307	-21.3387	-17.64849
308	-20.83401	-17.76503
309	-21.3387	-18.00772
310	-22.22702	-18.33107
311	-22.22702	-18.33107
312	-23.79934	-18.39867
313	-25.19699	-18.19888
314	-25.92044	-17.88472
315	-25.92044	-17.53494
316	-24.58101	-16.9086
317	-23.13996	-16.31693
318	-21.76002	-15.57306
319	-20.07121	-14.66318
320	-19.25301	-13.98306
321	-17.33428	-13.0529
322	-15.84446	-12.30112
323	-14.61296	-11.48211
324	-13.79217	-10.63349
325	-12.76071	-10.03404
326	-11.70661	-9.290087
327	-10.88	-8.638002
328	-10.12975	-8.116594
329	-9.203194	-7.548235
330	-8.532326	-6.960775
331	-7.672581	-6.493299
332	-7.063179	-5.953234
333	-6.527573	-5.554274
334	-5.953533	-5.198751
335	-5.527447	-4.783113
336	-5.149147	-4.44998
337	-4.737267	-4.134638
338	-4.277439	-3.794249
339	-3.89978	-3.605272
340	-3.568676	-3.407667
341	-3.24707	-3.189543
342	-2.95351	-3.034826
343	-2.652512	-2.819506
344	-2.480854	-2.608255
345	-2.218201	-2.445787
346	-2.09333	-2.329069
347	-1.961746	-2.188654
348	-1.798084	-2.076639
349	-1.613647	-2.02508
350	-1.484692	-1.942125
351	-1.379997	-1.792013
352	-1.253204	-1.722792
353	-1.167809	-1.697306
354	-1.072952	-1.599882
355	-0.9746552	-1.499964
356	-0.9009972	-1.420103
357	-0.8560562	-1.346037
358	-0.8864059	-1.325518
359	-0.9129677	-1.296358

	E	H
MSL : 	-0.86	-0.76
MSP : 	357	7
HPBW: 	39.09	43.67
